Genus	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113	P114	P115	P116	P117	P118	P119	P120	P121	P122	P123	P124	P125	P126	P127	P128	P129	PrNotRecog
 g__[Clostridium]_methylpentosum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__[Eubacterium]_brachy_group	26	51	0	23	0	13	32	26	0	0	9	0	0	19	0	24	29	33	0	41	12	18	12	0	11	28	16	0	6	0	12	3	0	22	8	155	0	11	88	29	8	46	0	14	77	0	15	3	22	0	44	0	27	29	5	36	27	16	0	13	0	80	46	0	11	35	12	0	29	0	40	7	0	55	17	40	37	27	52	19	11	16	29	30	13	38	21	38	27	30	42	17	68	38	48	14	31	8	19	27	24	53	30	48	23	12	25	18	15	23	35	41	14	24	18	40	12	35	16	9	13	32	26	41	8	39	40	17	30	30
 g__[Eubacterium]_coprostanoligenes_group	0	850	339	621	0	748	134	565	0	0	65	88	562	520	21	59	4	678	0	226	287	34	474	0	1054	10	650	0	929	16	140	336	5	373	4	2504	4	806	150	2195	45	43	21	1733	95	2	644	30	1760	8	500	82	755	32	21	395	202	668	0	68	44	339	29	2	368	60	1671	0	1315	11	663	26	5	257	8	156	484	1097	27	296	8	79	251	392	653	0	50	80	333	299	303	620	0	57	0	70	493	899	601	49	135	257	172	315	303	963	0	0	0	58	241	98	1102	11	0	0	323	221	575	1123	69	0	0	115	343	241	499	26	0	397
 g__[Eubacterium]_fissicatena_group	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	7	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__[Eubacterium]_hallii_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__[Eubacterium]_nodatum_group	49	10	27	50	0	38	34	15	0	0	0	0	28	37	0	24	44	51	0	24	0	10	23	0	86	34	33	0	6	0	10	12	0	16	34	243	0	5	52	72	0	50	0	37	187	0	22	18	51	0	87	0	24	80	0	12	11	19	0	17	5	32	57	0	6	25	23	0	32	0	24	39	0	81	35	7	19	21	31	40	48	43	12	35	15	53	9	40	37	17	18	11	40	15	53	22	15	48	7	32	33	77	66	30	15	9	42	33	42	73	18	21	12	67	30	44	81	5	29	26	102	17	44	41	13	23	10	26	17	32
 g__[Eubacterium]_oxidoreducens_group	0	2	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	7	0	2	0	0	0	0	2	0	0	0	0	0	2	2	0	3	4	18	0	0	8	0	0	2	0	7	0	0	0	0	0	0	0	0	6	0	0	0	11	3	0	3	0	0	2	0	2	0	0	0	2	0	0	0	0	0	2	0	12	7	16	0	0	0	5	3	0	9	14	0	0	12	0	0	0	13	0	3	26	0	2	0	3	12	6	7	7	0	4	5	0	0	9	2	17	0	0	7	0	10	2	2	4	4	0	2	11	7	2	0	2	0
 g__[Eubacterium]_siraeum_group	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__[Eubacterium]_ventriosum_group	2132	1610	452	669	0	896	134	389	0	0	2434	358	725	1213	150	860	270	519	0	2466	433	275	533	15	953	161	390	0	1621	16	262	582	7	161	208	1606	0	1008	531	1488	18	1604	12	249	1032	12	1439	540	1246	7	1607	90	64	650	72	2079	40	633	0	420	56	152	493	16	1066	192	735	0	537	5	99	528	6	1928	594	329	57	473	392	401	889	431	439	339	302	944	74	534	854	844	65	205	267	145	550	401	340	1030	619	695	204	773	3020	1009	361	901	576	854	483	1502	407	283	335	1730	849	253	639	356	676	914	1487	550	900	470	1510	684	458	539	262	1376
 g__[Eubacterium]_xylanophilum_group	1190	1759	625	582	0	320	959	947	19	0	1785	564	816	552	79	138	32	553	18	1655	524	1580	941	4	548	1275	440	4	366	9	869	581	19	48	1046	8719	0	670	4014	290	109	887	6	331	632	0	676	691	181	21	1007	7	515	750	84	741	704	139	0	676	0	309	422	0	714	969	121	0	472	0	1352	241	0	699	437	324	1527	712	140	119	290	571	119	956	149	1484	648	1151	696	165	1036	874	85	513	1094	141	326	660	1229	455	953	1699	78	1185	783	156	354	338	468	169	1333	1775	809	1036	664	1187	351	1464	151	762	248	888	766	1025	437	1327	770	182	727	1567
 g__[Ruminococcus]_gnavus_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
 g__[Streptomyces]_thermoautotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__0319-6G20	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	32	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__1174-901-12	0	0	0	0	0	0	0	0	0	0	0	101	0	0	18	0	0	0	0	0	8	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
